Buy,ID,Gender,Status,Children,Est_Income,Age,MARITAL STATUS,PROFESSION,EDUCATION,BUYER CATEGORY,LTV,DEMOGRAPHIC CLUSTER,ONLINE BEHAVIOR CLUSTER,BUYING BEHAVIOR CLUSTER,Retailer country,Retailer type,Product line,Product type,Product,Year,Quarter,Gross margin,State
Yes,889,F,M,2,36660.9,39.96,S,Engineer,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Personal Accessories,Navigation,Trail Star,2021,Q1 2021,0.42460317,Arizona
Yes,891,F,M,2,68462.8,34.4,S,Private Sector,High School,Repeat Buyer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Outdoor Protection,Insect Repellents,BugShield Lotion Lite,2021,Q1 2021,0.72859997,Arizona
Yes,894,F,M,2,72841.3,47.02,S,Accountant,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Outdoor Protection,Insect Repellents,BugShield Lotion,2021,Q1 2021,0.66034985,Arizona
No,895,F,M,2,63670.8,46.146667,S,Engineer,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Outdoor Protection,Sunscreen,Sun Blocker,2021,Q1 2021,0.60204082,Arizona
Yes,896,M,S,0,80000.0,41.0,M,Financial analyst,College,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Outdoor Protection,Sunscreen,Sun Shelter 15,2021,Q1 2021,0.62708333,Oregon
Yes,897,F,S,1,83287.0,47.0,U,Financial analyst,College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Outdoor Protection,Sunscreen,Sun Shelter 30,2021,Q1 2021,0.60638298,Nevada
No,898,M,M,0,12387.6,56.173333,M,Financial analyst,Post College,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Outdoor Protection,First Aid,Deluxe Family Relief Kit,2021,Q1 2021,0.58645066,Arizona
Yes,900,F,M,1,82931.3,64.64,U,Doctor,College,Repeat Buyer,HIGH VALUE,MARRIED MEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Outdoor Protection,First Aid,Calamine Relief,2021,Q1 2021,0.52833333,Oregon
Yes,901,F,M,2,57483.9,44.026667,U,Doctor,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Outdoor Protection,First Aid,Aloe Relief,2021,Q1 2021,0.63288719,Washington
Yes,903,F,S,2,21274.0,45.526667,M,Doctor,Post College,Repeat Buyer,MEDIUM VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE MEDIUM VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.40381199,Oregon
Yes,904,F,M,2,28267.0,30.093333,S,Not employed,College,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2021,Q1 2021,0.43751289,Washington
Yes,906,F,M,2,36725.1,55.793333,U,Financial analyst,College,Product Viewer,HIGH VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2021,Q1 2021,0.44535634,Arizona
Yes,910,M,S,1,94188.3,57.546667,S,Self Employed,Post College,Repeat Buyer,MEDIUM VALUE,HIGH INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2021,Q1 2021,0.44955007,California
Yes,913,F,M,2,91861.0,41.98,S,Private Sector,High School,Product Viewer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2021,Q1 2021,0.42250716,Arizona
No,916,F,S,1,12374.9,33.493333,S,Self Employed,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.49608138,Arizona
No,917,F,M,2,69133.9,26.833333,U,Doctor,Post College,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2021,Q1 2021,0.48311609,Arizona
Yes,919,F,M,2,84948.0,29.446667,U,Nursing,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2021,Q1 2021,0.44845066,California
No,920,F,M,2,30998.8,40.96,M,Scientist,College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Putters,Course Pro Putter,2021,Q1 2021,0.51695502,Oregon
Yes,926,M,D,1,21416.5,35.653333,M,Unemployed,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Putters,Blue Steel Putter,2021,Q1 2021,0.51097809,Oregon
No,930,M,S,1,78554.2,16.7,S,Pharmacist,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Putters,Blue Steel Max Putter,2021,Q1 2021,0.45933212,California
No,931,M,S,1,3960.5,14.693333,S,Professor,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2021,Q1 2021,0.72868217,Oregon
No,933,M,M,0,60101.1,63.766667,M,Scientist,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Umbrella,2021,Q1 2021,0.51729686,Nevada
Yes,934,F,M,2,38215.9,30.886667,M,Financial analyst,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2021,Q1 2021,0.63523513,Arizona
No,935,F,M,1,13829.4,20.0,S,Not employed,High School,Product Viewer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Direct Marketing,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,2021,Q1 2021,0.31009095,California
No,936,F,M,2,49745.3,47.966667,S,Not employed,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Direct Marketing,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2021,Q1 2021,0.34754797,California
Yes,938,F,M,2,88427.0,13.86,S,Financial analyst,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Direct Marketing,Camping Equipment,Cooking Gear,TrailChef Single Flame,2021,Q1 2021,0.26099426,Oregon
Yes,939,F,M,2,98003.7,26.273333,S,Accountant,College,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Direct Marketing,Camping Equipment,Cooking Gear,TrailChef Utensils,2021,Q1 2021,0.4600432,Arizona
No,940,M,S,0,89142.7,53.693333,S,Engineer,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Direct Marketing,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2021,Q1 2021,0.5440107,Nevada
No,941,F,S,0,74530.8,63.086667,M,Engineer,Post College,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PROBABLE BUYER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Direct Marketing,Camping Equipment,Sleeping Bags,Hibernator Pad,2021,Q1 2021,0.51382196,Oregon
No,943,F,S,0,40120.0,22.0,S,Lawyer,Post College,Repeat Buyer,MEDIUM VALUE,HIGH INCOME SINGLE,REPEAT BUYER,ONLINE MEDIUM VALUE NON OFFER SEEKER,United States,Direct Marketing,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2021,Q1 2021,0.37984669,Nevada
Yes,948,F,M,2,76289.2,48.206667,M,Doctor,College,Repeat Buyer,HIGH VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Direct Marketing,Camping Equipment,Lanterns,Firefly Mapreader,2021,Q1 2021,0.52531646,California
No,950,M,M,1,66931.9,63.933333,U,Accountant,College,Repeat Buyer,MEDIUM VALUE,MIDDLE INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Direct Marketing,Camping Equipment,Lanterns,Firefly Multi-light,2021,Q1 2021,0.31641676,Nevada
No,951,F,D,0,40120.0,21.0,U,Financial analyst,College,Repeat Buyer,HIGH VALUE,MARRIED WOMEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Direct Marketing,Outdoor Protection,Insect Repellents,BugShield Spray,2021,Q1 2021,0.6893039,Arizona
No,952,F,M,1,40120.0,22.0,M,Professor,College,Repeat Buyer,MEDIUM VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Direct Marketing,Outdoor Protection,Sunscreen,Sun Shield,2021,Q1 2021,0.5257732,Oregon
Yes,953,F,S,0,40120.0,24.0,U,Self Employed,College,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Warehouse Store,Camping Equipment,Lanterns,EverGlow Single,2021,Q1 2021,0.46149254,California
Yes,954,F,S,0,40120.0,24.0,M,Not employed,College,Buyer,MEDIUM VALUE,MARRIED WOMEN,BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Warehouse Store,Personal Accessories,Eyewear,Maximus,2021,Q1 2021,0.1924,Oregon
No,955,F,S,2,42000.0,23.0,M,Doctor,College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Warehouse Store,Outdoor Protection,Insect Repellents,BugShield Natural,2021,Q1 2021,0.68041237,Oregon
Yes,956,F,S,0,40120.0,20.0,M,Private Sector,High School,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shelter Stick,2021,Q1 2021,0.59587629,Nevada
No,957,F,S,2,40120.0,22.0,M,Engineer,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Cooking Gear,TrailChef Kettle,2021,Q1 2021,0.49684741,Oregon
No,958,F,S,1,40120.0,21.0,U,Pharmacist,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Tents,Star Gazer 6,2021,Q1 2021,0.37997444,Oregon
Yes,962,F,M,2,90271.6,44.926667,U,Financial analyst,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2021,Q1 2021,0.29145017,Oregon
Yes,967,F,M,2,64816.6,31.126667,U,Accountant,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Sleeping Bags,Hibernator,2021,Q1 2021,0.3769019,Oregon
No,968,F,M,2,98217.1,44.98,U,Not employed,College,Repeat Buyer,HIGH VALUE,MARRIED WOMEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Sleeping Bags,Hibernator Pad,2021,Q1 2021,0.51185545,California
No,970,F,S,1,2929.13,53.506667,U,Engineer,College,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Sleeping Bags,Hibernator Pillow,2021,Q1 2021,0.43365696,California
Yes,972,F,M,2,41876.6,44.093333,U,Not employed,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Packs,Canyon Mule Climber Backpack,2021,Q1 2021,0.27437564,California
Yes,973,M,M,0,96223.4,64.76,S,Self Employed,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PROBABLE BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2021,Q1 2021,0.38805542,Arizona
Yes,974,F,S,0,15989.3,61.693333,S,Professor,College,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PROBABLE BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Packs,Canyon Mule Cooler,2021,Q1 2021,0.51397327,Arizona
No,975,M,M,0,69168.4,62.426667,M,Accountant,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Lanterns,Firefly 2,2021,Q1 2021,0.37844892,Oregon
Yes,976,M,M,1,92148.5,38.0,U,Doctor,College,Product Viewer,MEDIUM VALUE,MARRIED MEN,PROBABLE BUYER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Lanterns,Firefly 4,2021,Q1 2021,0.37608319,Oregon
No,977,M,M,0,96681.0,19.76,M,Not employed,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Lanterns,EverGlow Single,2021,Q1 2021,0.46706056,California
No,978,M,S,0,62705.9,39.0,S,Engineer,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PROBABLE BUYER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Lanterns,EverGlow Double,2021,Q1 2021,0.43870394,Oregon
No,979,M,S,0,80221.2,29.026667,U,Nursing,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Lanterns,EverGlow Butane,2021,Q1 2021,0.37511535,California
Yes,980,M,S,0,84479.2,28.0,M,Private Sector,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Lanterns,EverGlow Lamp,2021,Q1 2021,0.33597698,Nevada
Yes,981,F,M,2,64977.4,38.193333,M,Lawyer,College,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Equipment Rental Store,Camping Equipment,Lanterns,Flicker Lantern,2021,Q1 2021,0.5457982,Arizona
No,982,F,M,0,77994.0,50.553333,U,Financial analyst,College,Buyer,HIGH VALUE,HIGH INCOME FAMILY,BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Equipment Rental Store,Mountaineering Equipment,Rope,Husky Rope 50,2021,Q1 2021,0.32905585,Arizona
No,983,M,M,2,90103.7,34.946667,U,Doctor,College,Buyer,LOW VALUE,MARRIED WOMEN,BUYER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Personal Accessories,Watches,Mountain Man Analog,2021,Q1 2021,0.3736952,Oregon
Yes,984,F,M,0,59008.4,30.18,M,Unemployed,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Personal Accessories,Watches,Mountain Man Digital,2021,Q1 2021,0.31342259,Oregon
No,985,M,M,2,5265.35,52.873333,M,Private Sector,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Equipment Rental Store,Personal Accessories,Watches,Mountain Man Deluxe,2021,Q1 2021,0.50185209,Oregon
No,986,M,S,1,84978.1,21.64,S,Professor,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PROBABLE BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Outdoor Protection,Insect Repellents,BugShield Natural,2021,Q1 2021,0.67764231,California
No,987,F,M,2,36647.9,49.986667,M,Accountant,College,Repeat Buyer,HIGH VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Equipment Rental Store,Outdoor Protection,First Aid,Insect Bite Relief,2021,Q1 2021,0.54,Arizona
Yes,988,F,S,0,64319.2,41.226667,M,Private Sector,High School,Product Viewer,MEDIUM VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Equipment Rental Store,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.31515339,Arizona
Yes,989,F,S,1,73338.0,48.246667,U,Not employed,College,Product Viewer,MEDIUM VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.5091954,Oregon
No,990,F,S,0,433.74,60.746667,M,Pharmacist,College,Product Viewer,MEDIUM VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Golf Equipment,Putters,Course Pro Putter,2021,Q1 2021,0.51695502,Arizona
No,991,F,M,2,16962.2,45.36,M,Nursing,College,Buyer,MEDIUM VALUE,MARRIED MEN,BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Equipment Rental Store,Golf Equipment,Putters,Blue Steel Putter,2021,Q1 2021,0.53577465,Nevada
No,993,M,M,2,10708.3,26.026667,M,Engineer,Post College,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Equipment Rental Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2021,Q1 2021,0.61336955,Arizona
No,996,F,M,0,2031.61,20.3,S,Nursing,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Water Bag,2021,Q1 2021,0.47787138,Oregon
No,1000,F,S,2,16938.5,52.0,S,Private Sector,High School,Product Viewer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Cup,2021,Q1 2021,0.7614525,Oregon
No,1003,F,M,0,55221.0,43.0,M,Engineer,College,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2021,Q1 2021,0.34754797,California
No,1004,F,M,1,8073.11,46.0,S,Self Employed,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Single Flame,2021,Q1 2021,0.26099426,Oregon
Yes,1005,M,M,0,95448.6,53.68,M,Unemployed,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Double Flame,2021,Q1 2021,0.4742745,Oregon
No,1006,M,S,1,24141.5,17.006667,U,Not employed,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Kettle,2021,Q1 2021,0.5719202,Oregon
Yes,1007,M,S,2,63152.6,63.173333,S,Financial analyst,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Tents,Star Dome,2021,Q1 2021,0.35277197,Washington
No,1008,M,S,1,31952.0,34.266667,M,Engineer,College,Product Viewer,HIGH VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Tents,Star Gazer 2,2021,Q1 2021,0.28293788,Arizona
No,1009,M,S,2,72084.7,55.64,S,Professor,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Tents,Star Peg,2021,Q1 2021,0.49165926,California
No,1010,F,S,0,42760.5,47.0,S,Engineer,Post College,Repeat Buyer,HIGH VALUE,HIGH INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Lite,2021,Q1 2021,0.29145017,Oregon
No,1011,F,S,1,49072.0,48.0,S,Pharmacist,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator,2021,Q1 2021,0.3769019,Washington
No,1012,F,M,0,27371.8,52.646667,U,Engineer,College,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2021,Q1 2021,0.39814629,Arizona
No,1016,M,M,1,71472.9,41.913333,M,Self Employed,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PROBABLE BUYER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2021,Q1 2021,0.5440107,Arizona
Yes,1017,F,M,0,95405.7,48.0,S,Lawyer,College,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pad,2021,Q1 2021,0.51382196,California
No,1018,F,S,0,95786.8,52.646667,S,Lawyer,Post College,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pillow,2021,Q1 2021,0.43365696,Oregon
Yes,1020,M,S,0,90321.6,55.113333,M,Engineer,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,2021,Q1 2021,0.33560737,Oregon
No,1021,M,D,1,90478.6,54.553333,M,Not employed,College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Climber Backpack,2021,Q1 2021,0.2733564,Oregon
No,1022,F,M,2,56187.0,43.0,S,Doctor,Post College,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Extreme Backpack,2021,Q1 2021,0.4481739,Oregon
Yes,1023,M,M,1,28313.1,20.893333,M,Engineer,College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Cooler,2021,Q1 2021,0.50890117,California
No,1025,F,S,1,41000.0,24.393333,S,Not employed,College,Visitor,LOW VALUE,MIDDLE INCOME SINGLE,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Carryall,2021,Q1 2021,0.40396584,Arizona
Yes,1030,M,M,2,29616.0,49.426667,S,Professor,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Lanterns,Firefly Lite,2021,Q1 2021,0.52810674,California
Yes,1032,M,M,0,19732.8,50.673333,U,Engineer,Post College,Repeat Buyer,HIGH VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Lanterns,Firefly Extreme,2021,Q1 2021,0.43711546,California
No,1035,M,S,2,96.33,56.473333,U,Engineer,College,Repeat Buyer,HIGH VALUE,MARRIED WOMEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Single,2021,Q1 2021,0.46706056,California
No,1038,F,M,2,52004.8,25.14,M,Nursing,College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Butane,2021,Q1 2021,0.36432866,Arizona
